workshop.number,noc,participant.id,trend.1,effect.1,trend.2,effect.2,trend.3,effect.3,trend.4,effect.4,trend.5,effect.5,absolute,share,comfort,missing.q,add.notes
3,Carpenters,5,5,down,Downsizing,down,Retrofitting,up,Energy retrofitting,up,23,down,fewer,decrease,,no,Missing comfort level
3,Computer network technicians,5,1,up,12,up,,,,,,,more,increase,7,no,
3,Correctional service officers,5,31,down,23,up,,,,,,,fewer,remain constant,7,no,
3,Court clerks,5,more dispute resolution,down,population growth,up,,,,,,,more,decrease,6,no,
3,Electrical mechanics,5,More tesla's,up,,,,,,,,,more,increase,7,no,
3,Financial managers,5,1 - technology/ai,down,28 - more entrepreneurs,down,23 - concentration of wealth,down,3,down,,,fewer,decrease,8,no,
3,Forestry technologists and technicians,5,27,up,Climate change,up,18,up,,,,,more,increase,8,no,
3,Furniture and fixture assemblers and inspectors,5,down sizing,down,5,down,maker movement,down,aging population,up,,,fewer,decrease,7,no,
3,Industrial and manufacturing engineers,5,1,down,17,up,,,,,,,more,increase,8,no,
3,Instructors of persons with disabilities,5,1,down,8,down,30,up,23,down,,,fewer,decrease,7,no,
3,"Labourers in food, beverage and associated products processing",5,31,up,18 - climate change/resource scarcity,up,growing population,up,1,down,27,none,more,increase,7,no,
3,Medical administrative assistants,5,1,down,ageing population,up,big pharma skepticism,down,,,,,fewer,decrease,6,no,
3,"Operators and attendants in amusement, recreation and sport",5,4,up,13,up,16,up,,,,,more,increase,8,no,
3,Plastics processing machine operators,5,5,down,Environmental concerns,down,,,,,,,fewer,remain constant,7,no,
3,"Senior managers - financial, communications and other business services",5,disruptive technology,down,consolidation within industry,down,entrepreneurship,down,,,,,same,remain constant,7,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",5,Aging population,up,Population increase,up,18,up,,,,,more,increase,8,no,
3,Underground production and development miners,5,automation,down,18,up,,,,,,,fewer,decrease,8,no,
3,"Air pilots, flight engineers and flying instructors",6,Nomadic habits,up,1,down,Climate change,down,,,,,more,increase,9,no,
3,Air transport ramp attendants,6,nomadic habits,up,secuirty,up,27,down,automation,down,31 travel . more ,up ,more,increase,9,no,
3,Airline ticket and service agents,6,1,down,automation,down,27,up,6,down,,,fewer,remain constant,7,no,
3,Carpenters,6,22,up,20,up,21,up,,,,,more,increase,9,no,
3,Computer network technicians,6,8,up,15,up,1,down,,,,,more,increase,9,no,
3,Correctional service officers,6,27,up,Political shifts,up,,,,,,,more,increase,6,no,
3,Court clerks,6,10,up,25,up,8,up,28,down,ageing population,down,more,increase,8,no,
3,Electrical mechanics,6,15,up,21,up,28,up,,,,,more,remain constant,9,no,
3,Financial managers,6,26,down,automation,down,23,up,,,,,more,remain constant,7,no,
3,Forestry technologists and technicians,6,20,up,21,up,Demographic/Immigration,up,,,,,more,remain constant,7,no,
3,Furniture and fixture assemblers and inspectors,6,automation,down,26,down,buying less,down,,,,,fewer,decrease,8,no,
3,Industrial and manufacturing engineers,6,12,up,4,up,,,,,,,more,increase,9,no,
3,Instructors of persons with disabilities,6,1,down,22,up,,,,,,,more,decrease,9,no,
3,"Labourers in food, beverage and associated products processing",6,18,up,health and wellness/habits,up,16,up,,,,,same,increase,6,no,
3,Medical administrative assistants,6,food habits,up,health and wellness pursuit,up,1,down,,,,,more,increase,9,no,
3,"Operators and attendants in amusement, recreation and sport",6,16,up,Aging population,up,4,up,11,down,,,more,increase,7,no,
3,Plastics processing machine operators,6,5,up,Environment awareness,down,21,up,,,,,more,increase,7,no,
3,"Senior managers - financial, communications and other business services",6,3,up,28,down,25,up,,,,,same,decrease,9,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",6,9,up,Political situation,down,Globalization,up,21,up,,,more,increase,8,no,
3,Underground production and development miners,6,21,down,market demand,up,1,down,5,up,,,same,decrease,9,no,
3,"Air pilots, flight engineers and flying instructors",7,14,up,Larger capacity planes,down,More urbanization,down,23,down,Global pilot shortage,up,more,remain constant,8,no,
3,Air transport ramp attendants,7,air traffic increase,up,1,down,23,down,,,,,same,decrease,7,no,
3,Airline ticket and service agents,7,1,down,7,down,23,down,demographic change,down,,,fewer,decrease,7,no,
3,Carpenters,7,23,down,22,up,5,down,Growing population,up,Shortage of skilled trades,up,more,remain constant,7,no,
3,Computer network technicians,7,Networks in place,down,More efficiency with fibre,down,1,down,12,up,,,fewer,decrease,8,no,
3,Correctional service officers,7,24,up,1,down,23,up,22,up,,,same,remain constant,7,no,
3,Court clerks,7,alternative dispute resolution,down,technology,down,population growth,up,,,,,same,remain constant,7,no,
3,Electrical mechanics,7,21,up,Increasing electric vehicles,up,1,down,HVAC,up,,,more,increase,8,no,
3,Financial managers,7,3 - automation,down,online trading,down,1 - trend analysis,down,entrepreneurial increase,up,23 - wealthier 10%,down,fewer,remain constant,7,no,
3,Forestry technologists and technicians,7,Technology/remote sensitive,down,21 + Biomass,up,19,up,27 + international trade,up,International 18,up,same,decrease,8,no,
3,Furniture and fixture assemblers and inspectors,7,1,down,18,down,23,down,,,,,fewer,decrease,8,no,
3,Industrial and manufacturing engineers,7,1,down,17,up,21,up,Bio-medical,up,,,more,remain constant,8,no,
3,Instructors of persons with disabilities,7,technology,down,1,down,8,down,30,down,,,fewer,decrease,8,no,
3,"Labourers in food, beverage and associated products processing",7,1,down,13,down,14,up,,,,,fewer,decrease,7,no,
3,Medical administrative assistants,7,technology,down,demographics/ageing population,up,1,down,trend toward naturopathy,down,overall population growth,up,fewer,decrease,8,no,
3,"Operators and attendants in amusement, recreation and sport",7,4,up,13,up,16,up,,,,,more,increase,8,no,
3,Plastics processing machine operators,7,Social preference away from plastics,down,Global population increase,up,1,down,,,,,same,remain constant,7,no,
3,"Senior managers - financial, communications and other business services",7,disruptive tech,down,business consolidation,down,globalization,down,centralization,down,entrepneruship,up,more,decrease,8,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",7,21,down,1,down,Environment pressures,both,Increasing population,up,,,more,increase,7,no,
3,Underground production and development miners,7,21,up,18,up,increasing societal wealth,up,,,,,more,remain constant,8,no,
3,"Air pilots, flight engineers and flying instructors",8,Automation,down,Globalization,up,24,up,1,down,,,same,remain constant,8,no,
3,Air transport ramp attendants,8,low cost airlines,up,globalization,up,6,up,,,,,more,increase,8,no,
3,Airline ticket and service agents,8,automation,down,1,down,demographic change,up,24,down,,,same,remain constant,7,no,
3,Carpenters,8,Makerspaces,up,Housing demand increase,up,Housing affordability,down,24,up,,,same,remain constant,7,no,
3,Computer network technicians,8,6,up,12,up,1,down,Tech dependency,up,,,more,increase,8,no,
3,Correctional service officers,8,31,down,23,up,30,down,Government Policy,up,,,same,remain constant,5,no,
3,Court clerks,8,decrease in crime,down,formalized judicial system,up,,,,,,,same,remain constant,5,no,
3,Electrical mechanics,8,21,up,Food security,up,Aging infrastructure,up,,,,,more,increase,8,no,
3,Financial managers,8,entrepreneurial growth,up,3,down,15,up,cryptocurrency,up,,,more,increase,7,no,
3,Forestry technologists and technicians,8,Autonomous Vehicles,down,Forest reclamation,up,21,up,19,down,18,down,same,remain constant,7,no,
3,Furniture and fixture assemblers and inspectors,8,maker spaces,down,23,down,5,down,29,up,,,fewer,decrease,8,no,
3,Industrial and manufacturing engineers,8,Consumer Consumption,up,Population Increase,up,23,down,30,up,,,more,increase,7,no,
3,Instructors of persons with disabilities,8,immigration,up,advancement pharmaceuticals,down,aging population,up,,,,,more,increase,6,no,
3,"Labourers in food, beverage and associated products processing",8,trade agreements,down,population increase,up,23,down,automation,down,health policy,down,fewer,decrease,7,no,
3,Medical administrative assistants,8,1,down,immigration,up,privatization,up,,,,,more,increase,5,no,
3,"Operators and attendants in amusement, recreation and sport",8,Immigration,up,Automation,down,23,down,2,up,Affordable education,down,fewer,decrease,7,no,
3,Plastics processing machine operators,8,Environmental policy,down,Prosthetic manufacturing,up,1,down,,,,,same,decrease,6,no,
3,"Senior managers - financial, communications and other business services",8,global competition,up,26,down,23,up,16,down,,,more,increase,7,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",8,21,up,Policy,up,Emerging technology,down,,,,,same,remain constant,5,no,
3,Underground production and development miners,8,environmental policy,down,18,down,19,down,21,down,,,same,remain constant,5,no,
3,"Air pilots, flight engineers and flying instructors",9,1,down,Work Life balance/Increase travel,up,International threats - lower travel,down,Cyber security,up,,,same,remain constant,7,no,
3,Air transport ramp attendants,9,technology trends,down,27 travel decreases ,down,16,up,23,up,,,same,remain constant,8,no,
3,Airline ticket and service agents,9,1,down,6,down,26,down,digital secuirty,up,,,fewer,decrease,9,no,
3,Carpenters,9,15,up,22,up,23,up,13,up,28,up,more,decrease,6,no,
3,Computer network technicians,9,1,up,7,up,Data mining,up,28,up,12,down,more,remain constant,6,no,
3,Correctional service officers,9,27,up,Poor mental wellness on the rise,up,31,down,26,up,7,up,more,remain constant,8,no,
3,Court clerks,9,political uncertainty,up,25,up,ageing workforce,down,diversity and inclusive,up,technology change,down,same,remain constant,8,no,
3,Electrical mechanics,9,Environmental change,up,Solar + 22,down,Technology change,up,,,,,same,decrease,5,no,
3,Financial managers,9,3,up,1,down,13,up,28,up,15,up,more,increase,7,no,
3,Forestry technologists and technicians,9,Natural disasters,up,1,up,Urbanization,down,18,up,21,down,same,remain constant,6,no,
3,Furniture and fixture assemblers and inspectors,9,15,up,23,down,4,up,13,up,demographic change,down,same,decrease,5,no,
3,Industrial and manufacturing engineers,9,1,down,5,down,2,down,18,down,21,down,same,decrease,7,no,
3,Instructors of persons with disabilities,9,1,down,wellness health,up,30,down,,,,,same,decrease,6,no,
3,"Labourers in food, beverage and associated products processing",9,technological change,down,robotics,down,ageing workforce/labour intensive,down,,,,,fewer,decrease,9,no,
3,Medical administrative assistants,9,14,up,our food supply - hormones,up,23,up,1,down,16,up,more,increase,6,no,
3,"Operators and attendants in amusement, recreation and sport",9,Work Life balance,up,Technological change,down,23,down,Mental wellness,up,4,up,same,increase,7,no,
3,Plastics processing machine operators,9,Environmental concerns,down,Technology,down,Younger generation no interest,down,Robotics,down,,,fewer,decrease,7,no,
3,"Senior managers - financial, communications and other business services",9,13,up,26,down,14,down,25,up,7,up,same,increase,8,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",9,Demand alternative resources,up,Environmental pressure,up,Technology change,down,15,up,,,more,increase,7,no,
3,Underground production and development miners,9,1,down,increase software,down,18,up,lonely/isolated,down,,,fewer,decrease,6,no,
3,"Air pilots, flight engineers and flying instructors",10,Increase travel = existing shortage,up,Automation,down,Carbon tax = decrease flight affordability,down,Increased weather events,down,,,more,remain constant,8,no,
3,Air transport ramp attendants,10,air traffic increase,up,aging population (tourism) + 20,up,baggage fees,down,increase fuel costs but increase fuel efficiency,down,,,more,remain constant,6,no,mostly automated already (occupational resiliance)
3,Airline ticket and service agents,10,automation + 1,down,2,down,,,,,,,fewer,decrease,9,no,
3,Carpenters,10,Demography (mismatch in housing),up,Aging infrastructure,up,21 + Energy retrofits/carbon tax,up,23,down,5,down,more,increase,7,no,
3,Computer network technicians,10,1,up,Maturity of wireless networks,down,Plug + play technology (usability),down,6,down,27,up,fewer,decrease,5,no,
3,Correctional service officers,10,Mandatory minimum sentences,up,Alternative intervention,down,Government policy and expenditures,down,31 + decriminalization of other substances,down,,,fewer,decrease,7,no,
3,Court clerks,10,alternative dispute resolution,up,demography (declining crime rates),down,1 + automation,down,31 - decriminalization of cannabis,down,20,up,fewer,decrease,8,no,
3,Electrical mechanics,10,"18 + re-use, repair",up,21 + wind/other generators,up,Automation,up,Aging infrastructure,up,,,more,increase,8,no,
3,Financial managers,10,1 - But still need managers,down,consolidation of business,up,28,up,financial economic collapse,down,,,same,remain constant,10,no,
3,Forestry technologists and technicians,10,19 + climate change adaptation (flood mitigation),up,Climate change adaptation (carbon request ration),up,21 + biomass,up,26,down,18,both,more,remain constant,7,no,
3,Furniture and fixture assemblers and inspectors,10,automation / 5,down,labour arbitrage (global economy),down,maker movement,up,ergonomic customization,up,aging population (special purpose furniture),up,more,increase,2,no,
3,Industrial and manufacturing engineers,10,Government Debt Levels,down,Economic instability hindering investment,down,Historically low interest rates,up,18,up,21,up,more,remain constant,5,no,
3,Instructors of persons with disabilities,10,government priorities,down,aging population,up,improved diagnosis,up,early intervention,up,,,more,increase,6,no,
3,"Labourers in food, beverage and associated products processing",10,18 - climate change - decreased food production,up,automation,down,"27 - decreased food exports, increased local processing",none,31,up,food preferences - health,down,same,remain constant,6,no,
3,Medical administrative assistants,10,ageing population,up,20,up,privatization,up,government debt/ability to spend,down,automation,down,more,increase,8,no,
3,"Operators and attendants in amusement, recreation and sport",10,Aging population,up,23,down,Automation,down,2,down,,,fewer,remain constant,4,no,
3,Plastics processing machine operators,10,"Democratication of plastics manufacturing (3-D printing, extruding)",down,Labour arbitrage,down,Decrease public perception of plastics,down,,,,,fewer,decrease,5,no,
3,"Senior managers - financial, communications and other business services",10,23 (leading to financal system collapse),down,27 (leading to shutting down of economies),down,28,up,,,,,same,remain constant,6,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",10,Increasing regulatory pressures,up,Reduced regulatory requirements,down,Decreasing ability to enforce compliance,down,18,up,21,down,same,remain constant,3,no,
3,Underground production and development miners,10,automation,down,18 - global commodity prices,up,21 - decreased coal mining,down,,,,,more,remain constant,5,no,
3,"Air pilots, flight engineers and flying instructors",11,Immigration,up,Increased costs of education,up,Increased global opportunities for employees,up,,,,,more,increase,5.5,no,
3,Air transport ramp attendants,11,22,up,immigration increase,up,,,,,,,more,increase,6,no,
3,Airline ticket and service agents,11,immigration,up,education costs in residents countries,up,,,,,,,same,remain constant,6,no,
3,Carpenters,11,28,up,23,up,Population increase,up,13,up,,,more,increase,10,no,
3,Computer network technicians,11,12,up,6,up,1,down,13,up,,,same,remain constant,6,no,
3,Correctional service officers,11,Crime rates,up,Immigration,up,Increasing population,up,23,up,,,more,increase,10,no,
3,Court clerks,11,(cultural) diversity of cases,up,requirement for education certification,up,,,,,,,fewer,decrease,10,no,
3,Electrical mechanics,11,21,down,18,up,,,,,,,same,decrease,5,no,
3,Financial managers,11,entrepreneurial growth,up,13,up,17,up,,,,,more,increase,8,no,
3,Forestry technologists and technicians,11,18,up,27,up,29,up,20,up,19,up,same,remain constant,5,no,
3,Furniture and fixture assemblers and inspectors,11,increased population,up,17,down,,,,,,,fewer,decrease,8,no,
3,Industrial and manufacturing engineers,11,Consumer Consumption,down,26,down,23,down,,,,,same,remain constant,9,no,
3,Instructors of persons with disabilities,11,technology for instruction,down,increasing government debt,down,,,,,,,same,remain constant,7,no,
3,"Labourers in food, beverage and associated products processing",11,unemployment rates,down,wellness policies,down,trade tariffs,down,,,,,same,remain constant,6,no,
3,Medical administrative assistants,11,immigration,up,ageing population,up,"privatization, declining government funding",down,,,,,more,increase,8,no,
3,"Operators and attendants in amusement, recreation and sport",11,2,down,16,up,,,,,,,same,remain constant,8,no,
3,Plastics processing machine operators,11,Environmental Responsibility,down,5,up,29,down,,,,,fewer,remain constant,8,no,
3,"Senior managers - financial, communications and other business services",11,13,down,23,down,24,up,28,up,,,same,remain constant,8,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",11,Improved wellness,down,,,,,,,,,same,remain constant,3,no,
3,Underground production and development miners,11,18,down,26,down,consumption of goods,down,,,,,same,remain constant,6,no,
3,"Air pilots, flight engineers and flying instructors",12,1,down,Drones,up,16,up,Baby boom retirement,up,,,same,decrease,7,no,
3,Air transport ramp attendants,12,1,up,6 - global distribution of goods,up,,,,,,,fewer,decrease,5,no,
3,Airline ticket and service agents,12,cargo / fraght,up,1,none,23,down,,,,,fewer,decrease,7,no,
3,Carpenters,12,Housing equality,up,19,up,22,up,1,up,5,down,same,remain constant,7,no,
3,Computer network technicians,12,1,down,2,up,22,up,25,up,5,up,same,remain constant,7,no,
3,Correctional service officers,12,26,down,Awareness of equity/social responsibility,down,Restorative justice,up,23,up,1,down,same,decrease,7,no,"6th trend: Blockchain, arrow down"
3,Court clerks,12,1,down,6 - different forms of government,down,,,,,,,fewer,decrease,7,no,
3,Electrical mechanics,12,1,up,21,up,3,up,31,up,22,up,more,increase,7,no,
3,Financial managers,12,1,down,3,up,6,down,,,,,same,remain constant,7,no,
3,Forestry technologists and technicians,12,18,up,19,up,22,up,4,up,1,up,more,increase,7,no,
3,Furniture and fixture assemblers and inspectors,12,1,down,minimalism,down,sense of place economy,up,,,,,same,decrease,7,no,
3,Industrial and manufacturing engineers,12,1,up,5,down,11,up,18,up,23,down,more,remain constant,7,no,
3,Instructors of persons with disabilities,12,17,down,26,up,1,down,8,down,30,down,fewer,decrease,7,no,
3,"Labourers in food, beverage and associated products processing",12,1,down,16,up,18,down,climate change - less meat,down,,,fewer,decrease,7,no,
3,Medical administrative assistants,12,baby boomer health,up,1,down,3,down,,,,,same,remain constant,7,no,
3,"Operators and attendants in amusement, recreation and sport",12,16,up,Baby boom retirement,up,4,up,1,up,29,up,more,increase,8,no,Additional trend: 14 + 26 / move to socialism
3,Plastics processing machine operators,12,1,up,5,up,20,up,,,,,more,remain constant,7,no,
3,"Senior managers - financial, communications and other business services",12,1,down,3,up,11,down,6,down,28,up,more,remain constant,7,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",12,Systems operators/integrators,up,1,up,22,up,18,up,21,up,more,increase,9,no,
3,Underground production and development miners,12,self-government/meaningful partnership to open spaces,up,1,up,5,up,2,up,21,up,more,increase,7,no,
3,"Air pilots, flight engineers and flying instructors",13,2,up,18,down,15,up,,,,,fewer,decrease,6,no,
3,Air transport ramp attendants,13,1,down,18,down,16,up,,,,,fewer,decrease,5,no,
3,Airline ticket and service agents,13,1,down,18,down,16,up,27,down,,,fewer,decrease,6,no,
3,Carpenters,13,30,up,18,down,17,up,28,up,,,same,remain constant,7,no,
3,Computer network technicians,13,1,down,3,up,4,down,28,up,30,up,more,increase,8,no,
3,Correctional service officers,13,1,down,2,down,11,none,,,,,fewer,decrease,5,no,Missing arrow for trend 3
3,Court clerks,13,1,down,2,down,9,up,,,,,fewer,decrease,6,no,
3,Electrical mechanics,13,5,up,11,up,12,up,14,up,24,up,more,increase,6,no,
3,Financial managers,13,9,up,15,up,16,up,23,down,24,up,fewer,decrease,7,no,
3,Forestry technologists and technicians,13,18,up,19,up,21,down,27,down,16,up,fewer,decrease,7,no,
3,Furniture and fixture assemblers and inspectors,13,15,up,18,up,23,down,28,up,22,up,more,increase,6,no,
3,Industrial and manufacturing engineers,13,1,up,2,up,5,up,11,up,12,up,more,increase,7,no,
3,Instructors of persons with disabilities,13,1,down,2,down,9,up,15,up,17,up,more,increase,8,no,
3,"Labourers in food, beverage and associated products processing",13,1,down,28,down,31,up,22,up,3,up,more,remain constant,6,no,
3,Medical administrative assistants,13,1,down,2,up,9,up,14,up,28,up,more,increase,6,no,
