workshop.number	noc	participant.id	trend.1	effect.1	trend.2	effect.2	trend.3	effect.3	trend.4	effect.4	trend.5	effect.5	absolute	share	comfort	missing.q	add.notes	input
2	Computer network technicians	3	2	up	6	up	3	up	28	up			more	increase	7	no		d
2	Restaurant and food service managers	3	23	down	uber eats	up	1	down	28	up	31	up	more	increase	7	no		d
2	"Health policy researchers, consultants and program officers"	3	aging population	up	political change	up	healthcare costs	up	life disruptions	up	1	down	same	remain constant	6	no		d
2	Real estate agents and salespersons	3	15	down	consumer awareness	down	25	down	28	down	2	down	fewer	decrease	8	no		d
2	"Senior managers - financial, communications and other business services"	3	28	up	23	up	1	up					more	increase	3	no		d
2	Forestry technologists and technicians	3	18	up	19	up	5	down	drone tech	down	27	down	more	decrease	6	no		d
2	"Operators and attendants in amusement, recreation and sport"	3	2	down	4	up	8	down					fewer	decrease	7	no		d
2	Lawyers and Quebec notaries	3	1	down	self serve	down							fewer	decrease	3	no	2nd trend hard to read	d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	3	IOT	up	30	up	15	up	worker safety	up	gig worker management	up	same	remain constant	8	no		d
2	"Labourers in food, beverage and associated products processing"	3	health trends	up	health concerns	up	supply chain disruption	down	RPA	down			same	remain constant	3	no		d
2	Plastics processing machine operators	3	5	down	19	down	innovation	up					same	remain constant	5	no		d
2	Financial managers	4	3	down	6	down							same	remain constant	5	no		d
2	Court clerks	4	30	down	23	down							fewer	decrease	10	no		d
2	Medical administrative assistants	4	political uncertainty	both	demographics	up							same	remain constant	6	no		d
2	Electrical mechanics	4	15	up	21	up							more	increase	10	no		d
2	Technical sales specialists - wholesale trade	4	1	down	15	up	28	up	continuing product differentiation	up			more	increase	10	no		d
2	Industrial and manufacturing engineers	4	15	up	21	up	5	both	28	up	1	up	more	increase	9	no		d
2	Underground production and development miners	4	autonomous tech	down	remote monitoring	down	labour safety regulations	down					fewer	decrease	10	no		d
2	Furniture and fixture assemblers and inspectors	4	planned obsolescence	down	offshoring	down							fewer	decrease	8	no		d
2	Instructors of persons with disabilities	4	inescapable demographics	up	17	down	5	down					more	increase	9	no		d
2	Computer network technicians	4	IOT	up	cybercrime	up	2	none					more	increase	10	no		d
2	Restaurant and food service managers	4	minimum wage	down	23	down	apps/delivery	up					more	remain constant	8	no		d
2	"Health policy researchers, consultants and program officers"	4	growing public expenditure	up	broadening definition of health	up	demographic	up	spending/productivity paradox	up			more	increase	10	no	Participant added 'this is my job' to Q4	d
2	Real estate agents and salespersons	4	government policy	up	open data	down	consumer awareness	down	23	down			more	remain constant	9	no		d
2	"Senior managers - financial, communications and other business services"	4	08-Jan	down	16	up	12	up					more	remain constant	9	no		d
2	Forestry technologists and technicians	4	1	down	18	up	globalization (invasive species)	up	19	down	27	down	fewer	decrease	8	no		d
2	"Operators and attendants in amusement, recreation and sport"	4	2	down	22	down							fewer	decrease	7	no		d
2	Lawyers and Quebec notaries	4	tax modernization	up	regulatory modernization	up	patent thickets	up					more	remain constant	9	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	4	15	up	biologics	up	21	up	automation	down			more	remain constant	8	no		d
2	"Labourers in food, beverage and associated products processing"	4	employment standards	down									same	decrease	10	no		d
2	Plastics processing machine operators	4	5	down	environmental policy	down	materials science breakthrough	up					same	decrease	6	no		d
2	Financial managers	5	1	down	3	down	26	down					fewer	remain constant	5	no		d
2	Court clerks	5	31	down	2	down							fewer	decrease	8	no		d
2	Medical administrative assistants	5	3	down	31	up	demographic change	up					fewer	decrease	7	no		d
2	Electrical mechanics	5	5	down	15	down	27	up	21	up			same	remain constant	5	no		d
2	Technical sales specialists - wholesale trade	5	15	up	6	down	9	up					same	remain constant	6	no		d
2	Industrial and manufacturing engineers	5	5	both	1	both	2	up					more	increase	7	no		d
2	Underground production and development miners	5	1	down	21	down							fewer	decrease	5	no		d
2	Furniture and fixture assemblers and inspectors	5	5	down	1	down	18	down					fewer	decrease	6	no		d
2	Instructors of persons with disabilities	5	demographic change	up	8	down	17	down	23	down	5	down	fewer	increase	6	no		d
2	Computer network technicians	5	1	up	25	up	15	up					more	remain constant	6	no		d
2	Restaurant and food service managers	5	1	down	31	up	23	down					fewer	decrease	7	no		d
2	"Health policy researchers, consultants and program officers"	5	8	up	14	up	31	up	15	up	25	up	more	increase	7	no		d
2	Real estate agents and salespersons	5	23	down	2	down							fewer	decrease	7	no		d
2	"Senior managers - financial, communications and other business services"	5	1	up	income inequality	up	3	up					more	remain constant	6	no		d
2	Forestry technologists and technicians	5	1 - drone planting	up	environmental degradation	up	wilfires funding	up					fewer	decrease	6	no		d
2	"Operators and attendants in amusement, recreation and sport"	5	4	up	16	down	2	down					fewer	decrease	8	no		d
2	Lawyers and Quebec notaries	5	10	up	15	up	31	up	self service initiative	down			same	remain constant	6	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	5	15	up	21	down							same	remain constant	5	no		d
2	"Labourers in food, beverage and associated products processing"	5	1	down	food preference change	down							fewer	decrease	7	no		d
2	Plastics processing machine operators	5	5	down	1	down							fewer	decrease	6	no		d
2	Financial managers	6	18	up	complexity of work	up							more	remain constant	7	no		d
2	Court clerks	6	1	down	6	down	3	down					fewer	decrease	6	no		d
2	Medical administrative assistants	6	3	down	1	down	9	up					fewer	decrease	2	no		d
2	Electrical mechanics	6	21	up	18	up							more	increase	8	no		d
2	Technical sales specialists - wholesale trade	6	5	up	complexity of value chains	up							more	increase	10	no		d
2	Industrial and manufacturing engineers	6	5	up	21	up	18	up					more	increase	8	no		d
2	Underground production and development miners	6	18	up	global economic growth	none							more	increase	8	no		d
2	Furniture and fixture assemblers and inspectors	6	5	up	22	up							more	remain constant	6	no		d
2	Instructors of persons with disabilities	6	2	down	15	up							same	remain constant	6	no		d
2	Computer network technicians	6	1	up	3	up	6	up	22	up			more	increase	10	no		d
2	Restaurant and food service managers	6	13	up	22	up	28	up					more	increase	8	no		d
2	"Health policy researchers, consultants and program officers"	6	13	up	31	up	8	up					more	increase	10	no		d
2	Real estate agents and salespersons	6	22	up	6	down	1	down					more	remain constant	6	no		d
2	"Senior managers - financial, communications and other business services"	6	6	down	consolidation	down	globalization	down					fewer	decrease	7	no		d
2	Forestry technologists and technicians	6	19	up	22	up	18	down					more	remain constant	4	no		d
2	"Operators and attendants in amusement, recreation and sport"	6	2	down	14	up							more	increase	8	no		d
2	Lawyers and Quebec notaries	6	25	up	10	up	1	down					more	increase	9	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	6	22	up	21	up							more	increase	8	no		d
2	"Labourers in food, beverage and associated products processing"	6	climate change	up	18	up	automation	down					same	remain constant	5	no		d
2	Plastics processing machine operators	6	5	up									more	remain constant		no	no comfort level	d
2	Financial managers	7	1	down	18	up							same	decrease	6	no		d
2	Court clerks	7	1	down	18	up	23	up	26	up	10	up	more	remain constant	6	no		d
2	Medical administrative assistants	7	3	down	1	down							fewer	decrease	9	no		d
2	Electrical mechanics	7	22	up	1	up	4	down	15	up			more	increase	7	no		d
2	Technical sales specialists - wholesale trade	7	1	up									more	increase	9	no		d
2	Industrial and manufacturing engineers	7	urbanization	up	1	down	19	up	5	down	21	up	more	increase	6	no		d
2	Underground production and development miners	7	18	up	1	down	21	down	canadian commitment	up			more	increase	7	no		d
2	Furniture and fixture assemblers and inspectors	7	5	down	23	down	gig economy	down					fewer	decrease	8	no		d
2	Instructors of persons with disabilities	7	30	up	17	up	8	up	1	down	less infants	down	same	remain constant	5	no		d
2	Computer network technicians	7	27	up	6	up	9	up	IOT	up			more	increase	8	no		d
2	Restaurant and food service managers	7	14	up	28	up	13	up					more	remain constant	7	no		d
2	"Health policy researchers, consultants and program officers"	7	14	up	1	down	aging population	up					more	increase	7	no		d
2	Real estate agents and salespersons	7	22	up	1	down	26	down	12	up			more	increase	4	no		d
2	"Senior managers - financial, communications and other business services"	7	26	down	13	up	27	up					more	remain constant	8	no		d
2	Forestry technologists and technicians	7	27	up	19	up	1	down	5	up			more	remain constant	7	no		d
2	"Operators and attendants in amusement, recreation and sport"	7	2	down	23	down	4	up	14	up			same	increase	7	no		d
2	Lawyers and Quebec notaries	7	1	down	3	down	6	down	18	up			more	increase	7	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	7	1	down	infrastructure replacement	up							more	increase	8	no		d
2	"Labourers in food, beverage and associated products processing"	7	1	down	10	up	18	up					same	increase	7	no		d
2	Plastics processing machine operators	7	5	down	10	up	1	down					fewer	decrease	4	no		d
2	Financial managers	8	1	down	environmental change + 19	up	political uncertainty	down	3	down	31	up	same	remain constant	8	no		d
2	Court clerks	8	political uncertainty	up	demographic change	up	technological change	down	increasing inequality	up	urbanisation	up	more	increase	9	no		d
2	Medical administrative assistants	8	1	down	3	down	24	up	8	down	7	down	fewer	decrease	9	no		d
2	Electrical mechanics	8	21	up	24	up	1	up	7	up	18	up	more	increase	9	no		d
2	Technical sales specialists - wholesale trade	8	1	down	28	up	6	down	9	up	30	up	fewer	decrease	8	no		d
2	Industrial and manufacturing engineers	8	1 - technological change	up	12 - globalization	up	21 - environmental change	up	24 - increasing inequality	down	29 - other	up	more	increase	9	no		d
2	Underground production and development miners	8	21	up	18	down	1	down	27	up	19	down	fewer	decrease	8	no		d
2	Furniture and fixture assemblers and inspectors	8	28	up	5	down	18	up	21	up	22	up	more	increase	8	no		d
2	Instructors of persons with disabilities	8	8	up	30	up	1	up	13	up	11	up	more	increase	10	no		d
2	Computer network technicians	8	1	down	6	up	25	up	4	down	2	up	more	increase	9	no		d
2	Restaurant and food service managers	8	1	down	18	down	22	up	28	up	31	up	same	remain constant	9	no		d
2	"Health policy researchers, consultants and program officers"	8	14	up	13	up	1	down	opioid crisis	up	31	up	more	increase	9	no		d
2	Real estate agents and salespersons	8	1	down	3	down	7	down	22	up	23	up	same	remain constant	8	no		d
2	"Senior managers - financial, communications and other business services"	8	3	down	21	up	24	down	13	up	28	up	same	remain constant	8	no		d
2	Forestry technologists and technicians	8	18	up	8	up	19	down	21	up	27	up	more	increase	9	no		d
2	"Operators and attendants in amusement, recreation and sport"	8	14	up	28	up	4	up	2	up	31	up	more	increase	9	no		d
2	Lawyers and Quebec notaries	8	1	down	9	up	10	up	3	down	25	up	same	remain constant	9	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	8	1	down	18	down	24	up	27	up	30	up	fewer	decrease	9	no		d
2	"Labourers in food, beverage and associated products processing"	8	1	down	27	up	18	up	21	down	23	down	fewer	decrease	9	no		d
2	Plastics processing machine operators	8	1	down	6	down	5	up	18	down	31	up	same	remain constant	8	no		d
2	Financial managers	9	3	up	6	up	26	down					more	increase	5	no		d
2	Court clerks	9	7	up									same	remain constant	2	no		d
2	Medical administrative assistants	9	7	up									same	remain constant	4	no		d
2	Electrical mechanics	9	21	up	17	up	18	up					same	remain constant	5	no		d
2	Technical sales specialists - wholesale trade	9	14	up	21	up	1	up	increase in niche solutions - need to sell them	up			more	increase	8	no		d
2	Industrial and manufacturing engineers	9	9	up	2	up	29	up	21	up			more	increase	3	no		d
2	Underground production and development miners	9	1	down	expansion of mining	up	18	down	27	up			same	remain constant	5	no		d
2	Furniture and fixture assemblers and inspectors	9	23	down	5	down							fewer	decrease	6	no		d
2	Instructors of persons with disabilities	9	14	up	13- aging population	up	8	up					more	increase	6	no		d
2	Computer network technicians	9	9	up	25	up	6	down					more	increase	6	no		d
2	Restaurant and food service managers	9	14	up	4	up	trend toward dining out	up	13	up			more	increase	7	no		d
2	"Health policy researchers, consultants and program officers"	9	aging population	up	25	up	17	up					more	increase	7	no		d
2	Real estate agents and salespersons	9	26	down	online services	down	booming market	up	potential crash	down			more	increase	5	no		d
2	"Senior managers - financial, communications and other business services"	9	27	up									same	remain constant	5	no		d
2	Forestry technologists and technicians	9	1	down	18	up	19	up					same	remain constant	1	no		d
2	"Operators and attendants in amusement, recreation and sport"	9	2	down	17	up	7	up	28	up			more	increase	6	no		d
2	Lawyers and Quebec notaries	9	1 - new regulations	up	1- service delivery	down							more	increase	5	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	9	21	down	1	down							fewer	decrease	7	no		d
2	"Labourers in food, beverage and associated products processing"	9	18	up	1	down	27	up					more	increase	5	no		d
2	Plastics processing machine operators	9	5	down	21	down	18	down	21	down	27	up	same	remain constant	5	no	trend 21 was entered 2x in the same direction	d
2	Financial managers	10	3	up	13	up							more	increase	6	no		d
2	Court clerks	10	3	none	31	up	23	up					more	remain constant	4	no		d
2	Medical administrative assistants	10	13	up	14	up	1	down	8	up			more	increase	8	no		d
2	Electrical mechanics	10	23	down	21	up	changing tech	down	18	up			fewer	remain constant	6	no		d
2	Technical sales specialists - wholesale trade	10	25	up	9	up	28	up	31	up			more	increase	7	no	"Participant added: industry specific, 'catch-all noc'"	d
2	Industrial and manufacturing engineers	10	1	up	9	up	12	up					more	increase	8	no		d
2	Underground production and development miners	10	1	down	5	down	21	down	18	down			fewer	decrease	9	no		d
2	Furniture and fixture assemblers and inspectors	10	changing distribution systems	down	23	down	22	down	offshoring	down			fewer	decrease	9	no		d
2	Instructors of persons with disabilities	10	14	up	13 - aging population	up	30	up	tech accessibility	up			more	increase	9	no		d
2	Computer network technicians	10	2	up	1	up	7	up	9	up	25	up	more	increase	9	no		d
2	Restaurant and food service managers	10	23	down	13	up	1	down	28	up	31	up	same	decrease	4	no		d
2	"Health policy researchers, consultants and program officers"	10	aging population	up	31	up	28	up	pharma	up	8	up	more	increase	9	no		d
2	Real estate agents and salespersons	10	23	down	26	down	28	up	22	down	18 + land scarcity	down	fewer	remain constant	7	no		d
2	"Senior managers - financial, communications and other business services"	10	13	down	23	down	26	down	3	down			fewer	decrease	7	no		d
2	Forestry technologists and technicians	10	18	down	19	up	1 - drones	down	14	down			fewer	decrease	7	no		d
2	"Operators and attendants in amusement, recreation and sport"	10	2	up	1	down	17	up	23	down	28	up	more	remain constant	6	no		d
2	Lawyers and Quebec notaries	10	23	down	13	down	12	up	cannabis legislation + other drug litigation	up			fewer	remain constant	7	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	10	21	up	18	down	19	down	22	down			same	remain constant	5	no	Participant comment on Q2: 'Problematic 'catch all' NOC - net effect across jobs'	d
2	"Labourers in food, beverage and associated products processing"	10	automation/robotics	down	13 - aging population	up	31	up					more	increase	7	no		d
2	Plastics processing machine operators	10	1	down	5 - depending on implementation	both	28	up	17	up			fewer	decrease	8	no		d
2	Financial managers	11	1	down	automation	down	inequality	down					fewer	decrease	6	no		d
2	Court clerks	11	decline in law	down	automation	down	increasing cost of law	up					fewer	decrease	8	no		d
2	Medical administrative assistants	11	1	none	healthcare restructuring	down							fewer	decrease	7	no		d
2	Electrical mechanics	11	mechanization	up									more	increase	8	no		d
2	Technical sales specialists - wholesale trade	11	more technical world	up	more connectivity	up							more	increase	10	no	trends illegible	d
2	Industrial and manufacturing engineers	11	automation	up	1	up							more	increase	9	no		d
2	Underground production and development miners	11	environmental awareness	up									fewer	decrease	7	no		d
2	Furniture and fixture assemblers and inspectors	11	increasing inequality	down	modular	up	5	down					fewer	decrease	4	no		d
2	Instructors of persons with disabilities	11	more inclusive world	up	optimism	up	fiscal restraint	down	expanding definition of disability	up			more	increase	5	no		d
2	Computer network technicians	11	more networks	up	IOT	up	IO everything	up					more	increase	9	no		d
2	Restaurant and food service managers	11	4	up	social	up							more	increase	8	no		d
2	"Health policy researchers, consultants and program officers"	11	more healthcare	up									more	increase	9	no		d
2	Real estate agents and salespersons	11	increased value of real estate	up	26 + decline of economy	down							more	increase	6	no		d
2	"Senior managers - financial, communications and other business services"	11	employment growth in sectors	up	services	up	size of company	up					more	increase	8	no		d
2	Forestry technologists and technicians	11	global demand for wood	up	climate change	down							same	remain constant	5	no		d
2	"Operators and attendants in amusement, recreation and sport"	11	2 + esports	down									fewer	decrease	7	no		d
2	Lawyers and Quebec notaries	11	1 + automation	down									fewer	decrease	7	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	11	more pharma/smaller ??????	up	less oil and gas	down							same	remain constant	5	no	First trend hard to read.	d
2	"Labourers in food, beverage and associated products processing"	11	automation	down	allergies	up	not resilient	down					fewer	decrease	4	no		d
2	Plastics processing machine operators	11	service economy	down	automation	down							fewer	decrease	8	no		d
2	Financial managers	12	1	down	23	down	6	down	12	up	26	down	fewer	decrease	8	no		d
2	Court clerks	12	12	up	20	up	23	down					fewer	decrease	8	no		d
2	Medical administrative assistants	12	22	up	23	down	29	up	30	down			same	decrease	6	no		d
2	Electrical mechanics	12	19	down	21	up	23	down	26	down	28	up	same	decrease	6	no		d
2	Technical sales specialists - wholesale trade	12	6	down	1	down	8	down	26	down			fewer	decrease	6	no		d
2	Industrial and manufacturing engineers	12	global economic activity	down	18	down	19	down	6	up	23	down	same	decrease	8	no		d
2	Underground production and development miners	12	28	up	12	up	26	down	23	up			more	decrease	5	no		d
2	Furniture and fixture assemblers and inspectors	12	13	down	18	down	23	down	5	up	26	down	same	remain constant	6	no		d
2	Instructors of persons with disabilities	12	16	up	8	down	15	up	26	down	23	down	more	remain constant	7	no		d
2	Computer network technicians	12	6	up	5	up	2	up	3	up	23	down	same	increase	7	no		d
2	Restaurant and food service managers	12	1	up	22	up	14	up	6	down	23	down	same	decrease	7	no		d
2	"Health policy researchers, consultants and program officers"	12	23	down									fewer	decrease	8	no		d
2	Real estate agents and salespersons	12	1	down	28	up	23	down					fewer	decrease	7	no		d
2	"Senior managers - financial, communications and other business services"	12	1	down	6	down	7	up	14	down	26	down	fewer	decrease	8	no		d
2	Forestry technologists and technicians	12	18	down	19	down	27	down	2	down	3	up	fewer	remain constant	7	no		d
2	"Operators and attendants in amusement, recreation and sport"	12	2	down	4	up	14	up	23	down	26	down	fewer	decrease	8	no		d
2	Lawyers and Quebec notaries	12	1	down	7	up	13	down	24	up	26	down	same	decrease	7	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	12	1	up	6	up	5	up	23	down			fewer	decrease	7	no		d
2	"Labourers in food, beverage and associated products processing"	12	1	down	13	down	23	down	18	down			fewer	decrease	8	no		d
2	Plastics processing machine operators	12	1	down	5	up	18	up	22	up	23	down	same	decrease	6	no		d
2	Financial managers	13	3	up	13	down	27	up					fewer	decrease	6	no		d
2	Court clerks	13	3	up	25	up	7	up	31	up	mediation	down	same	remain constant	6	no		d
2	Medical administrative assistants	13	7	up	25	up	8	up	14	up			more	increase	8	no		d
2	Electrical mechanics	13	21	up	drones/robotics	up	19	up	5	down			more	increase	7	no		d
2	Technical sales specialists - wholesale trade	13	1	up	9	down	12	up					more	increase	5	no		d
2	Industrial and manufacturing engineers	13	1	down	5	down	9	up	29	up	21	up	fewer	decrease	7	no		d
2	Underground production and development miners	13	1	down	robots	down	21	down	18	down			fewer	decrease	7	no		d
2	Furniture and fixture assemblers and inspectors	13	18	down	28	up	23	down					fewer	decrease	7	no		d
2	Instructors of persons with disabilities	13	14	up	13 - aging	up	27	up	30	up			more	increase	7	no		d
2	Computer network technicians	13	2	up	1	up	9	up	cybersecurity	up			more	increase	6	no		d
2	Restaurant and food service managers	13	23	down	16	up	14	up					fewer	remain constant	6	no		d
2	"Health policy researchers, consultants and program officers"	13	28	up	17	up	25	up	31	up			more	increase	7	no		d
2	Real estate agents and salespersons	13	22	up	23	up	28	up	immigration	up	20	up	same	remain constant	6	no		d
2	"Senior managers - financial, communications and other business services"	13	27	up	3	down	21	up	28	up			more	remain constant	6	no		d
2	Forestry technologists and technicians	13	18	up	19	down	1	up	drones	down			fewer	remain constant	5	yes	Q2 was answered at a later date	d
2	"Operators and attendants in amusement, recreation and sport"	13	23	down	6	down	2	down	11	up	28	up	same	remain constant	6	no		d
2	Lawyers and Quebec notaries	13	3	down									same	remain constant	6	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	13	21	up	22	up	aging	up					same	remain constant	4	no		d
2	"Labourers in food, beverage and associated products processing"	13	robotics	down	9	down							fewer	decrease	7	no		d
2	Plastics processing machine operators	13	5	down	18	down	17	up	28	up			fewer	decrease	7	no	 	d
2	Financial managers	14	senior management	up	number crunchers	down	accountants	down	bookkeepers	down	1 + 3	none	same	remain constant	7	no	"For the first trend, the participant circled the up arrow, and then wrote in 'or (sideways arrow)'. For the first question, the participant also added 'or fewer'. The trends also don't seem to be trends, but rather what the participant believes to be the different titles that make up the occupation and signaling change in employment. These, however, are incorrect. In addition, participant added (or sideways) to Q2"	d
2	Court clerks	14	1 - records automation	up	3 - not immediate longer term	up	budget constraints in government need to cut costs	up					fewer	decrease	10	no		d
2	Medical administrative assistants	14	1 + automation	up									fewer	decrease	9	no		d
2	Electrical mechanics	14	automated cars	up	robotization	up	18	up					more	increase	7	no		d
2	Technical sales specialists - wholesale trade	14	9	up	21	up	17	up					more	increase	10	no		d
2	Industrial and manufacturing engineers	14	macroeconomic growth	none	trade impacts	none	demand for IT engineers- how fast?	none	21	up	18	up	more	increase	7	no		d
2	Underground production and development miners	14	18	up	robotization	up	1	up	will depend on labour costs	none			same	remain constant	7	no	"For the 4th trend 'will depend on labour costs', participant drew a sideways arrow"	d
2	Furniture and fixture assemblers and inspectors	14	robotics/automation	up	offshore/trade	up	labour cost arbitrage	up					fewer	decrease	7	no		d
2	Instructors of persons with disabilities	14	30	up	government budgets - resource scarcity	none	"13 - aging population, empathy work will increase"	up					more	increase	8	no		d
2	Computer network technicians	14	1 + robotics	up	5	up	28	up					more	increase	10	no		d
2	Restaurant and food service managers	14	increased ease of eating out	up	13	up							more	increase	9	no		d
2	"Health policy researchers, consultants and program officers"	14	18	up	government finances	up	aging population	up	1 + automation	up			more	increase	9	no		d
2	Real estate agents and salespersons	14	1 + platforms	up	3	up	22	up					fewer	decrease	10	no		d
2	"Senior managers - financial, communications and other business services"	14	will depend on canada's economic growth	down	IT sector growth	up	trade patterns	none	these jobs depend on macroeconomic conditions	none			more	increase	6	no	Participant comment for Q3: 'If growth increases but down if not'	d
2	Forestry technologists and technicians	14	climate change	up	"tech changes - drones, AI, robotics"	up	less paper used	up	scarcity/sustainability	up	trade threat	up	fewer	decrease	8	no		d
2	"Operators and attendants in amusement, recreation and sport"	14	increase in entertainment	up	will depend on disposable income	none	will depend on hours worked (aggreagate)	none					more	increase	9	no	"For trends 2 and 3, the participant put side arrowns"	d
2	Lawyers and Quebec notaries	14	1	up									same	remain constant	8	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	14	1	up	5	up	3	up	12	up			more	increase	8	no		d
2	"Labourers in food, beverage and associated products processing"	14	robotization/automation	up	climate change	up	"employment levels: same in short term, decrease in short term"	none					same	remain constant	7	no		d
2	Plastics processing machine operators	14	5	up	reshoring of manufacturing to canada	up	18	up					more	increase	7	no		d
2	Financial managers	15	3	up	1	up							fewer	decrease	9	no		d
2	Court clerks	15	automation	up	3	up	9	none	1	up			same	remain constant	8	no		d
2	Medical administrative assistants	15	14	up	3	up	1	up	telepresence	up			fewer	decrease	8	no		d
2	Electrical mechanics	15	19 - natural disasters	up	technological change	up	22	up	15	up			more	increase	8	no		d
